url,review_score
https://www.airbnb.co.kr/rooms/46957072?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354641_0oiGwX3ukf28oi00,4.72
https://www.airbnb.co.kr/rooms/594504782648754887?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669354663_Nt6Fu81WAspz2v3J,4.59
https://www.airbnb.co.kr/rooms/49543108?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354682_VP71th9y5xL0vpZG,4.48
https://www.airbnb.co.kr/rooms/48320386?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354701_nvkwdgaoN7iuHiuf,4.65
https://www.airbnb.co.kr/rooms/596557615293910903?adults=1&children=0&infants=0&pets=0&check_in=2022-12-02&check_out=2022-12-04&source_impression_id=p3_1669354717_4nsirjuLf20qxAZ7,4.83
https://www.airbnb.co.kr/rooms/43081036?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669354737_0b52uLVf9Rq9c%2Fdq,4.45
https://www.airbnb.co.kr/rooms/40117530?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669354753_MaJxHzezDRKAsODh,4.7
https://www.airbnb.co.kr/rooms/633142080750816835?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354769_tXzZnxTBc3q%2BGYhX,4.84
https://www.airbnb.co.kr/rooms/683864721098941988?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354792_Uh2WPw8nghkqLxoO,4.64
https://www.airbnb.co.kr/rooms/646928160062496906?adults=1&children=0&infants=0&pets=0&check_in=2022-12-09&check_out=2022-12-11&source_impression_id=p3_1669354810_tW4XWY4uKMqNQ92k,4.66
https://www.airbnb.co.kr/rooms/50219977?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669354829_IT6SpUTOHUoqoO8Z,4.49
https://www.airbnb.co.kr/rooms/42133175?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669354845_KTGIaGjmiIQsyp10,4.73
https://www.airbnb.co.kr/rooms/13216190?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669354861_lTofGM2wJNH0izOG,4.61
https://www.airbnb.co.kr/rooms/54288177?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669285950_4V%2FNXn9NDgyhj2Xh,4.91
https://www.airbnb.co.kr/rooms/53959486?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669285968_Mibbk8mvtkC3qLeQ,3.71
https://www.airbnb.co.kr/rooms/25821227?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669285985_Rag5ML5l66fUed%2FL,4.87
https://www.airbnb.co.kr/rooms/41903571?adults=1&children=0&infants=0&pets=0&check_in=2023-01-27&check_out=2023-01-29&source_impression_id=p3_1669286000_fLAAvJTr3toZWw89,4.66
https://www.airbnb.co.kr/rooms/40333524?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669286017_FSXkV0kN8gDijNs8,4.84
https://www.airbnb.co.kr/rooms/50801144?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669286036_e%2FTjvhUAeNc0vpcI,3.86
https://www.airbnb.co.kr/rooms/662684816471147330?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669286054_cFu0nCHn4tFJ37JO,4.95
https://www.airbnb.co.kr/rooms/54011319?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669286073_Jb4o%2Fu9RZsry6I6Y,4.81
https://www.airbnb.co.kr/rooms/48138255?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669286090_iEQ%2F%2FNNXUmeVBVda,4.76
https://www.airbnb.co.kr/rooms/47866338?adults=1&children=0&infants=0&pets=0&check_in=2022-12-30&check_out=2023-01-01&source_impression_id=p3_1669286107_XWEmRWTtKbn8bUIT,4.7
https://www.airbnb.co.kr/rooms/735699707219121746?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669286124_OUfA8Ow%2BUAnT7jsX,
https://www.airbnb.co.kr/rooms/702604030105923600?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669286153_30XBVs6JtWZTuK%2F6,4.21
https://www.airbnb.co.kr/rooms/38367607?adults=1&children=0&infants=0&pets=0&check_in=2022-12-16&check_out=2022-12-18&source_impression_id=p3_1669286175_dpa8PVplQEx7Sj%2FC,3.91
https://www.airbnb.co.kr/rooms/49596477?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669286191_A11h%2BsvfZMvn%2FRGK,4.22
https://www.airbnb.co.kr/rooms/52308191?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669286213_8yBth0SLkL6Jahla,4.68
https://www.airbnb.co.kr/rooms/40988831?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669286231_caYsCiwYHjvG60vI,4.71
https://www.airbnb.co.kr/rooms/756892711223225824?adults=1&children=0&infants=0&pets=0&check_in=2023-01-20&check_out=2023-01-22&source_impression_id=p3_1669286248_sYEKRJPynvEexA4L,5.03
https://www.airbnb.co.kr/rooms/52996743?adults=1&children=0&infants=0&pets=0&check_in=2023-01-06&check_out=2023-01-08&source_impression_id=p3_1669286273_atTlW77AcMbNMA%2BD,4.58
https://www.airbnb.co.kr/rooms/16368666?adults=1&children=0&infants=0&pets=0&check_in=2023-01-13&check_out=2023-01-15&source_impression_id=p3_1669286294_7znN7yGUHYNx8nbf,4.68
